Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Address,Ownership,Room Number,Sq Ft,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE
Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,DOE Owned,OUTDOOR YARD 2,3195,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,1ST FL,4503,GYMNASIUM,true,Inside,false
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,202A,175,MULTI-PURPOSE NON CLASSROOM,false,Inside,true
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,202A,175,MULTI-PURPOSE NON CLASSROOM,false,Inside,true
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,3 FL,2652,GYMNASIUM,true,Inside,false
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,OUTDOOR YARD 1,7424,OUTDOOR YARD,true,Outside,false
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,OUTDOOR YARD 2,4816,OUTDOOR YARD,true,Outside,false
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,232,675,DANCE ROOM,false,Inside,false
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,234,675,MULTI-PURPOSE CLASSROOM,false,Inside,true
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,GYM,3850,GYMNASIUM,false,Inside,false
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,OUTDOOR YARD 1,18560,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,OUTDOOR YARD 2,2700,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,505,700,MULTI-PURPOSE ROOM,false,Inside,true
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,510,1742,MULTI-PURPOSE ROOM,false,Inside,true
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,511,2496,GYMNASIUM,false,Inside,false
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,511,2496,GYMNASIUM,false,Inside,false
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,OUTDOOR YARD 1,7800,OUTDOOR YARD,false,Outside,false
Manhattan,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,223 EAST 23 STREET,DOE Owned,419,360,DANCE ROOM,false,Inside,false
Manhattan,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,223 EAST 23 STREET,DOE Owned,508,740,WEIGHT ROOM,false,Inside,false
Manhattan,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,223 EAST 23 STREET,DOE Owned,GYM,5184,GYMNASIUM,true,Inside,false
