borough,ats code,location_name,grade_level,bldg_id,bldg_name,address,room_nuber,sqft,room_function,shared_with_other_schools,Insidevoutside,space_used,_location,_latitude,_longitude
Manhattan,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,320,4895,GYMNASIUM,FALSE,Inside,FALSE,"525 WEST 44 STREET, Manhattan, New York, NY, USA",40.761594,-73.995528
Manhattan,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,OUTDOOR YARD 1,5684,OUTDOOR YARD,FALSE,Outside,FALSE,"525 WEST 44 STREET, Manhattan, New York, NY, USA",40.761594,-73.995528
Manhattan,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,OUTDOOR YARD 2,2025,OUTDOOR YARD,FALSE,Outside,FALSE,"525 WEST 44 STREET, Manhattan, New York, NY, USA",40.761594,-73.995528
Manhattan,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,OUTDOOR YARD 3,2597,OUTDOOR YARD,FALSE,Outside,FALSE,"525 WEST 44 STREET, Manhattan, New York, NY, USA",40.761594,-73.995528
Manhattan,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,GYM,3630,GYMNASIUM,TRUE,Inside,FALSE,"1700 3 AVENUE, Manhattan, New York, NY, USA",40.785012,-73.950031
Manhattan,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,OUTDOOR YARD 1,2940,OUTDOOR YARD,TRUE,Outside,FALSE,"1700 3 AVENUE, Manhattan, New York, NY, USA",40.785012,-73.950031
Manhattan,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,127,688,DANCE ROOM,FALSE,Inside,FALSE,"201 WARREN STREET, Manhattan, New York, NY, USA",40.716969,-74.013793
Manhattan,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,315,4845,GYMNASIUM,TRUE,Inside,FALSE,"201 WARREN STREET, Manhattan, New York, NY, USA",40.716969,-74.013793
Manhattan,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,OUTDOOR YARD 1,10000,OUTDOOR YARD,TRUE,Outside,FALSE,"201 WARREN STREET, Manhattan, New York, NY, USA",40.716969,-74.013793
Manhattan,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,GYM,3816,GYMNASIUM,TRUE,Inside,FALSE,"440 WEST 53 STREET, Manhattan, New York, NY, USA",40.76578,-73.9896
Manhattan,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,OUTDOOR YARD 1,32000,OUTDOOR YARD,TRUE,Outside,FALSE,"440 WEST 53 STREET, Manhattan, New York, NY, USA",40.76578,-73.9896
Manhattan,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,OUTDOOR YARD 2,7500,OUTDOOR YARD,TRUE,Outside,FALSE,"440 WEST 53 STREET, Manhattan, New York, NY, USA",40.76578,-73.9896
Manhattan,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,208,550,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"210 EAST 33 STREET, Manhattan, New York, NY, USA",40.744489,-73.977705
Manhattan,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,GYM,4293,GYMNASIUM,FALSE,Inside,FALSE,"210 EAST 33 STREET, Manhattan, New York, NY, USA",40.744489,-73.977705
Manhattan,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,GYM,4293,GYMNASIUM,FALSE,Inside,FALSE,"210 EAST 33 STREET, Manhattan, New York, NY, USA",40.744489,-73.977705
Manhattan,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,OUTDOOR YARD 1,1200,OUTDOOR YARD,FALSE,Outside,FALSE,"210 EAST 33 STREET, Manhattan, New York, NY, USA",40.744489,-73.977705
Manhattan,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,OUTDOOR YARD 2,7150,OUTDOOR YARD,FALSE,Outside,FALSE,"210 EAST 33 STREET, Manhattan, New York, NY, USA",40.744489,-73.977705
