Borough,Geographical  District,Admin District,ATS Code,LocationName,Grade Level,BldgID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE,_location,_latitude,_longitude,_status,_bin,_bbl
Manhattan,3,3,03M241,STEM Institute of Manhattan,Elementary,M113,P.S. 241 - MANHATTAN,240 WEST 113 STREET,DOE Owned,124,3135,GYMNASIUM,TRUE,Inside,FALSE,"240 WEST 113 STREET, Manhattan, New York, NY, USA",40.801585,-73.955212,Unchecked,1055111,1018280015
Manhattan,3,3,03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,M144,P.S. 242 (OLD P144) - MANHATTAN,134 WEST 122 STREET,DOE Owned,GYM,4032,GYMNASIUM,TRUE,Inside,FALSE,"134 WEST 122 STREET, Manhattan, New York, NY, USA",40.806172,-73.948453,Checked,1057683,1019060011
Manhattan,3,3,03M452,P.S. 452,Elementary,M191,P.S. 191 - MANHATTAN,210 WEST 61 STREET,DOE Owned,225,3944,GYMNASIUM,FALSE,Inside,FALSE,"210 WEST 61 STREET, Manhattan, New York, NY, USA",40.771708,-73.987295,Unchecked,1030320,1011520029
Manhattan,4,4,04M037,River East Elementary,Elementary,M045,I.S. 45 - MANHATTAN,2351 FIRST AVENUE,DOE Owned,250,6500,GYMNASIUM,TRUE,Inside,FALSE,"2351 FIRST AVENUE, Manhattan, New York, NY, USA",40.799166,-73.933708,Unchecked,1054786,1017970100
Manhattan,4,4,04M038,P.S. 38 Roberto Clemente,Elementary,M121,P.S. 38 (OLD M121) - MANHATTAN,232 EAST 103 STREET,DOE Owned,133,3700,GYMNASIUM,TRUE,Inside,FALSE,"232 EAST 103 STREET, Manhattan, New York, NY, USA",40.788667,-73.944761,Unchecked,1052384,1016520016
Manhattan,4,4,04M083,P.S. 083 Luis Munoz Rivera,Elementary,M083,P.S. 83 - MANHATTAN,219 EAST 109 STREET,DOE Owned,GYM,4050,GYMNASIUM,TRUE,Inside,FALSE,"219 EAST 109 STREET, Manhattan, New York, NY, USA",40.793211,-73.942064,Unchecked,1052436,1016590012
Manhattan,4,4,04M102,P.S. 102 Jacques Cartier,Elementary,M102,P.S. 102 - MANHATTAN,315 EAST 113 STREET,DOE Owned,OUTDOOR YARD 1,2185,OUTDOOR YARD,FALSE,Outside,FALSE,"315 EAST 113 STREET, Manhattan, New York, NY, USA",40.794981,-73.938363,Unchecked,1081366,1016840101
Manhattan,4,4,04M146,P.S. 146 Ann M. Short,Elementary,M146,P.S. 146 - MANHATTAN,421 EAST 106 STREET,DOE Owned,116,624,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"421 EAST 106 STREET, Manhattan, New York, NY, USA",40.789696,-73.939076,Unchecked,1052999,1017000001
Manhattan,4,4,04M155,P.S. 155 William Paca,Elementary,M155,P.S. 155 - MANHATTAN,319 EAST 117 STREET,DOE Owned,121,625,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"319 EAST 117 STREET, Manhattan, New York, NY, USA",40.797494,-73.936171,Unchecked,1052986,1016890005
Manhattan,4,4,04M182,The Bilingual Bicultural School,Elementary,M083,P.S. 83 - MANHATTAN,219 EAST 109 STREET,DOE Owned,GYM,4050,GYMNASIUM,TRUE,Inside,FALSE,"219 EAST 109 STREET, Manhattan, New York, NY, USA",40.793211,-73.942064,Unchecked,1052436,1016590012
Manhattan,5,5,05M133,P.S. 133 Fred R Moore,Elementary,M133,P.S. 133 - MANHATTAN,2121 5 AVENUE,DOE Owned,GYM,3600,GYMNASIUM,FALSE,Inside,FALSE,"2121 5 AVENUE, Manhattan, New York, NY, USA",40.809655,-73.938961,Unchecked,1054276,1017550001
Manhattan,4,4,04M375,Mosaic Preparatory Academy,Elementary,M101,P.S. 101 - MANHATTAN,141 EAST 111 STREET,DOE Owned,426,2860,GYMNASIUM,TRUE,Inside,FALSE,"141 EAST 111 STREET, Manhattan, New York, NY, USA",40.796318,-73.944551,Unchecked,1081346,1016390003
Manhattan,4,4,04M497,Central Park East I,Elementary,M013,I.S. 13 - MANHATTAN,1573 MADISON AVENUE,DOE Owned,GYM,6500,GYMNASIUM,TRUE,Inside,FALSE,"1573 MADISON AVENUE, Manhattan, New York, NY, USA",40.793747,-73.948448,Unchecked,1051515,1016120050
Manhattan,5,5,05M133,P.S. 133 Fred R Moore,Elementary,M133,P.S. 133 - MANHATTAN,2121 5 AVENUE,DOE Owned,OUTDOOR YARD 1,8578,OUTDOOR YARD,FALSE,Outside,FALSE,"2121 5 AVENUE, Manhattan, New York, NY, USA",40.809655,-73.938961,Unchecked,1054276,1017550001
Manhattan,5,5,05M030,P.S. 030 Hernandez/Hughes,Elementary,M030,P.S. 30 - MANHATTAN,144-176 EAST 128 STREET,DOE Owned,311,960,AUXILIARY EXERCISE ROOM,FALSE,Inside,FALSE,"144 EAST 128 STREET, Manhattan, New York, NY, USA",40.805699,-73.93508,Checked,1054502,1017760020
Manhattan,5,5,05M036,P.S. 036 Margaret Douglas,Elementary,M036,P.S. 36 - MANHATTAN,123 MORNINGSIDE DRIVE,DOE Owned,258,672,DANCE ROOM,FALSE,Inside,FALSE,"123 MORNINGSIDE DRIVE, Manhattan, New York, NY, USA",40.810612,-73.957417,Unchecked,1055890,1018500002
Manhattan,5,5,05M092,P.S. 092 Mary McLeod Bethune,Elementary,M092,P.S. 92 - MANHATTAN,222 WEST 134 STREET,DOE Owned,GYM,4032,GYMNASIUM,TRUE,Inside,FALSE,"222 WEST 134 STREET, Manhattan, New York, NY, USA",40.814947,-73.945473,Unchecked,1058808,1019390011
Manhattan,5,5,05M125,P.S. 125 Ralph Bunche,Elementary,M125,P.S. 125 - MANHATTAN,425 WEST 123 STREET,DOE Owned,E.GYM,3825,GYMNASIUM,TRUE,Inside,FALSE,"425 WEST 123 STREET, Manhattan, New York, NY, USA",40.810803,-73.956092,Unchecked,1059526,1019640012
Manhattan,5,5,05M133,P.S. 133 Fred R Moore,Elementary,M133,P.S. 133 - MANHATTAN,2121 5 AVENUE,DOE Owned,241,693,DANCE ROOM,FALSE,Inside,FALSE,"2121 5 AVENUE, Manhattan, New York, NY, USA",40.809655,-73.938961,Unchecked,1054276,1017550001
Manhattan,5,5,05M154,P.S. 154 Harriet Tubman,Elementary,M154,P.S. 154 - MANHATTAN,250 WEST 127 STREET,DOE Owned,223,378,AUXILIARY EXERCISE ROOM,FALSE,Inside,FALSE,"250 WEST 127 STREET, Manhattan, New York, NY, USA",40.810539,-73.948552,Unchecked,1058671,1019320010
Manhattan,5,5,05M175,P.S. 175 Henry H Garnet,Elementary,M175,P.S. 175 - MANHATTAN,175 WEST 134 STREET,DOE Owned,GYM.,3740,GYMNASIUM,TRUE,Inside,FALSE,"175 WEST 134 STREET, Manhattan, New York, NY, USA",40.814406,-73.942685,Unchecked,1058248,1019190006
Manhattan,5,5,05M194,P.S. 194 Countee Cullen,Elementary,M194,P.S. 194 - MANHATTAN,244 WEST 144 STREET,DOE Owned,221,572,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"244 WEST 144 STREET, Manhattan, New York, NY, USA",40.821228,-73.940693,Unchecked,1060432,1020290011
Manhattan,5,5,05M197,P.S. 197 John B. Russwurm,Elementary,M197,P.S. 197 - MANHATTAN,2230 5 AVENUE,DOE Owned,GYM,3942,GYMNASIUM,TRUE,Inside,FALSE,"2230 5 AVENUE, Manhattan, New York, NY, USA",40.813302,-73.93783,Unchecked,1076433,1017330017
Manhattan,5,5,05M200,P.S. 200- The James Mccune Smith School,Elementary,M200,P.S. 200 (TANDEM M010) - MANHATTAN,2589 7 AVENUE,DOE Owned,330/332,1344,DANCE ROOM,FALSE,Inside,FALSE,"2589 7 AVENUE, Manhattan, New York, NY, USA",40.823895,-73.935702,Unchecked,1060198,1020160100
Manhattan,5,5,05M318,Thurgood Marshall Academy Lower School,Elementary,M371,P.S. 318 - MANHATTAN,276 WEST 151ST STREET,TAX LEVY LEASE,OUTDOOR YARD 1,5000,OUTDOOR YARD,FALSE,Outside,FALSE,"276 WEST 151 STREET, Manhattan, New York, NY, USA",40.825859,-73.937799,Unchecked,1060596,1020360047
