Borough,Geographical  District,Admin District,ats_code,LocationName,Grade Level,Bldg ID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE
Manhattan,2,2,02M151,Yorkville Community School,Elementary,M066,RICHARD R GREEN HS OF TEACHING - M,421 EAST 88 STREET,DOE Owned,OUTDOOR YARD 2,3050,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - MANHATTAN,1458 YORK AVENUE,DOE Owned,302,528,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - MANHATTAN,1458 YORK AVENUE,DOE Owned,302,528,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - MANHATTAN,1458 YORK AVENUE,DOE Owned,GYM1,5734,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - MANHATTAN,1458 YORK AVENUE,DOE Owned,GYM2,2968,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - MANHATTAN,1458 YORK AVENUE,DOE Owned,OUTDOOR YARD 1,18500,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M183,P.S. 183 Robert L. Stevenson,Elementary,M183,P.S. 183 - MANHATTAN,419 EAST 66 STREET,DOE Owned,404,3245,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M183,P.S. 183 Robert L. Stevenson,Elementary,M183,P.S. 183 - MANHATTAN,419 EAST 66 STREET,DOE Owned,507,638,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M183,P.S. 183 Robert L. Stevenson,Elementary,M183,P.S. 183 - MANHATTAN,419 EAST 66 STREET,DOE Owned,507,638,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M183,P.S. 183 Robert L. Stevenson,Elementary,M183,P.S. 183 - MANHATTAN,419 EAST 66 STREET,DOE Owned,OUTDOOR YARD 1,18000,OUTDOOR YARD,FALSE,Outside,FALSE
