School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Borough Name,Postcode,Latitude,Longitude
2015-16,M110,01M110,P.S. 110 Florence Nightingale,M110,285 DELANCY STREET,M,1,394,,1,P.S. 110 Florence Nightingale,MANHATTAN,10002,40.715915,-73.979893
2015-16,M111,02M111,P.S. 111 Adolph S. Ochs,M111,440 WEST  53 STREET,M,2,393,,1,P.S. 111 Adolph S. Ochs,MANHATTAN,10019,40.765878,-73.988823
2015-16,M114,02M114,East Side Middle School,M114,331 EAST 91ST STREET,M,2,441,,1,East Side Middle School,MANHATTAN,10128,40.780706,-73.948553
2015-16,M115,06M115,P.S. 115 Alexander Humboldt,M115,586 WEST 177 STREET,M,6,552,,1,P.S. 115 Alexander Humboldt,MANHATTAN,10033,40.846542,-73.935205
2015-16,M116,02M116,P.S. 116 Mary Lindley Murray,M116,210 EAST  33 STREET,M,2,638,,1,P.S. 116 Mary Lindley Murray,MANHATTAN,10016,40.744838,-73.978116
2015-16,M117,04M012,Tag Young Scholars,M012,240 EAST 109 STREET,M,4,561,240 EAST 109 STREET CONSOLIDATED LOCATION,3,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  Global Neighborhood Secondary School |  240 EAST 109 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.79307,-73.942303
2015-16,M117,04M372,ESPERANZA PREPARATORY ACADEMY,M372,240 EAST 109 STREET,M,4,574,240 EAST 109 STREET CONSOLIDATED LOCATION,3,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  Global Neighborhood Secondary School |  240 EAST 109 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.79307,-73.942303
2015-16,M117,04M381,Global Neighborhood Secondary School,M381,240 EAST 109 STREET,M,4,108,240 EAST 109 STREET CONSOLIDATED LOCATION,3,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  Global Neighborhood Secondary School |  240 EAST 109 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.79307,-73.942303
2015-16,M117,,240 EAST 109 STREET CONSOLIDATED LOCATION,,240 EAST 109 STREET,M,4,1243,240 EAST 109 STREET CONSOLIDATED LOCATION,3,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  Global Neighborhood Secondary School |  240 EAST 109 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.79307,-73.942303
2015-16,M118,03M256,M.S. 256 Academic & Athletic Excellence,M256,154 WEST  93 STREET,M,3,138,154 WEST  93 STREET CONSOLIDATED LOCATION,3,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,MANHATTAN,10025,40.791728,-73.970845
2015-16,M118,03M258,Community Action School - MS 258,M258,154 WEST  93 STREET,M,3,235,154 WEST  93 STREET CONSOLIDATED LOCATION,3,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,MANHATTAN,10025,40.791728,-73.970845
2015-16,M118,03M333,P.S. 333 Manhattan School for Children,M333,154 WEST  93 STREET,M,3,742,154 WEST  93 STREET CONSOLIDATED LOCATION,3,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,MANHATTAN,10025,40.791728,-73.970845
2015-16,M131,02M131,M.S. 131,M131,100 HESTER STREET,M,2,420,100 HESTER STREET CONSOLIDATED LOCATION,3,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,MANHATTAN,10002,40.716553,-73.993092
